No.,Player,Pos,Ht,Wt,Birth Date,Nationality,Exp,College
,Jared Cunningham,,6/4,195,,us,3,
,Matthew Dellavedova,,6/4,198,,au,2,
,Channing Frye,,6/11,255,,us,9,
,Joe Harris,,6/6,219,,us,1,
,Kyrie Irving,,6/3,193,,au,4,
,LeBron James,,6/8,250,,us,12,
,Richard Jefferson,,6/7,233,,us,14,
,Dahntay Jones,,6/6,225,,us,11,
,James Jones,,6/8,218,,us,12,
,Sasha Kaun,,6/11,260,,ru,R,
,Kevin Love,,6/10,251,,us,7,
,Jordan McRae,,6/6,185,,us,R,
,Timofey Mozgov,,7/1,275,,ru,5,
,Iman Shumpert,,6/5,220,,us,4,
,J.R. Smith,,6/6,225,,us,11,
,Tristan Thompson,,6/9,238,,ca,4,
,Anderson Verejao,,6/10,273,,br,11,
,Mo Williams,,6/1,198,,us,12,
15,Anthony Bennett\bennean01,PF,6/8,245,March 14 1993,ca,2,University of Nevada Las Vegas
8,Bismack Biyombo\biyombi01,C,6/9,255,August 28 1992,cd,4,
20,Bruno Caboclo\cabocbr01,SF,6/9,218,September 21 1995,br,1,
5,DeMarre Carroll\carrode01,SF,6/8,215,July 27 1986,us,6,Vanderbilt University University of Missouri
10,DeMar DeRozan\derozde01,SG,6/7,221,August 7 1989,us,6,University of Southern California
3,James Johnson\johnsja01,PF,6/9,250,February 20 1987,us,6,Wake Forest University
6,Cory Joseph\josepco01,SG,6/3,193,August 20 1991,ca,4,University of Texas at Austin
7,Kyle Lowry\lowryky01,PG,6/1,205,March 25 1986,us,9,Villanova University
92,Lucas Nogueira\noguelu01,C,7/1,241,July 26 1992,br,1,
54,Patrick Patterson\pattepa01,PF,6/9,230,March 14 1989,us,5,University of Kentucky
24,Norman Powell\powelno01,SG,6/4,215,May 25 1993,us,R,University of California Los Angeles
31,Terrence Ross\rosste01,SF,6/7,206,February 5 1991,us,3,University of Washington
4,Luis Scola\scolalu01,PF,6/9,240,April 30 1980,ar,8,
1,Jason Thompson\thompja02,C,6/11,250,July 21 1986,us,7,Rider University
17,Jonas Valanciunas\valanjo01,C,7/1,265,May 6 1992,lt,3,
55,Delon Wright\wrighde01,PG,6/5,183,April 26 1992,us,R,University of Utah
11,Chris Andersen\anderch01,C,6/10,245,July 7 1978,us,13,Blinn College
1,Chris Bosh\boshch01,PF,6/11,235,March 24 1984,us,12,Georgia Institute of Technology
15,Mario Chalmers\chalmma01,PG,6/2,190,May 19 1986,us,7,University of Kansas
9,Luol Deng\denglu01,PF,6/9,220,April 16 1985,ss,11,Duke University
7,Goran Dragic\dragigo01,PG,6/3,190,May 6 1986,si,7,
32,James Ennis\ennisja01,SF,6/7,210,July 1 1990,us,1,California State University Long Beach
14,Gerald Green\greenge01,SG,6/7,205,January 26 1986,us,8,
40,Udonis Haslem\hasleud01,PF,6/8,235,June 9 1980,us,12,University of Florida
2,Joe Johnson\johnsjo02,SF,6/7,240,June 29 1981,us,14,University of Arkansas
8,Tyler Johnson\johnsty01,SG,6/4,186,May 7 1992,us,1,California State University Fresno
4,Josh McRoberts\mcrobjo01,PF,6/10,240,February 28 1987,us,8,Duke University
0,Josh Richardson\richajo01,SG,6/6,200,September 15 1993,us,R,University of Tennessee
12,Jarnell Stokes\stokeja01,C,6/9,263,January 7 1994,us,1,University of Tennessee
5,Amar'e Stoudemire\stoudam01,C,6/10,245,November 16 1982,us,13,
19,Beno Udrih\udrihbe01,PG,6/3,205,July 5 1982,si,11,
3,Dwyane Wade\wadedw01,SG,6/4,220,January 17 1982,us,12,Marquette University
12,Briante Weber\weberbr01,PG,6/2,165,December 29 1992,us,R,Virginia Commonwealth University
21,Hassan Whiteside\whiteha01,C,7/1,265,June 13 1989,us,3,Marshall University
20,Justise Winslow\winslju01,SF,6/7,225,March 26 1996,us,R,Duke University
24,Kent Bazemore\bazemke01,SF,6/5,201,July 1 1989,us,3,Old Dominion University
10,Tim Hardaway\hardati02,SG,6/6,205,March 16 1992,us,2,University of Michigan
12,Kirk Hinrich\hinriki01,PG,6/4,190,January 2 1981,us,12,University of Kansas
7,Justin Holiday\holidju01,SG,6/6,185,April 5 1989,us,2,University of Washington
15,Al Horford\horfoal01,C,6/10,245,June 3 1986,do,8,University of Florida
43,Kris Humphries\humphkr01,PF,6/9,235,February 6 1985,us,11,University of Minnesota
26,Kyle Korver\korveky01,SG,6/7,212,March 17 1981,us,12,Creighton University
8,Shelvin Mack\macksh01,PG,6/3,203,April 22 1990,us,4,Butler University
4,Paul Millsap\millspa01,PF,6/8,246,February 10 1985,us,9,Louisiana Tech University
31,Mike Muscala\muscami01,C,6/11,240,July 1 1991,us,2,Bucknell University
13,Lamar Patterson\pattela01,SG,6/5,225,August 12 1991,us,R,University of Pittsburgh
17,Dennis Schroder\schrode01,PG,6/1,172,September 15 1993,de,2,
32,Mike Scott\scottmi01,PF,6/8,237,July 16 1988,us,3,University of Virginia
25,Thabo Sefolosha\sefolth01,SF,6/7,220,May 2 1984,ch,9,
11,Tiago Splitter\splitti01,C,6/11,245,January 1 1985,br,5,
22,Edy Tavares\tavarwa01,C,7/3,260,March 22 1992,cv,R,
0,Jeff Teague\teaguje01,PG,6/2,186,June 10 1988,us,6,Wake Forest University
0,Avery Bradley\bradlav01,SG,6/2,180,November 26 1990,us,5,University of Texas at Austin
63,Coty Clarke\clarkco01,SF,6/7,232,July 4 1992,us,R,University of Arkansas
99,Jae Crowder\crowdja01,SF,6/6,235,July 6 1990,us,3,Marquette University
28,R.J. Hunter\hunterj01,SG,6/5,185,October 24 1993,us,R,Georgia State University
8,Jonas Jerebko\jerebjo01,PF,6/10,231,March 2 1987,se,5,
90,Amir Johnson\johnsam01,PF,6/9,240,May 1 1987,us,10,
42,David Lee\leeda02,PF,6/9,245,April 29 1983,us,10,University of Florida
55,Jordan Mickey\mickejo01,PF,6/8,235,July 9 1994,us,R,Louisiana State University
41,Kelly Olynyk\olynyke01,C,7/1,238,April 19 1991,ca,2,Gonzaga University
12,Terry Rozier\roziete01,PG,6/2,190,March 17 1994,us,R,University of Louisville
36,Marcus Smart\smartma01,PG,6/4,220,March 6 1994,us,1,Oklahoma State University
7,Jared Sullinger\sullija01,PF,6/9,260,March 4 1992,us,3,Ohio State University
4,Isaiah Thomas\thomais02,PG,5/9,185,February 7 1989,us,4,University of Washington
11,Evan Turner\turneev01,SG,6/7,220,October 27 1988,us,5,Ohio State University
13,James Young\youngja01,SG,6/6,215,August 16 1995,us,1,University of Kentucky
44,Tyler Zeller\zellety01,C,7/1,253,January 17 1990,us,3,University of North Carolina
5,Nicolas Batum\batumni01,SF,6/8,200,December 14 1988,fr,7,
30,Troy Daniels\danietr01,SG,6/4,205,July 15 1991,us,2,Virginia Commonwealth University
12,Jorge Gutierrez\gutiejo01,PG,6/3,191,December 27 1988,mx,2,University of California
19,P.J. Hairston\hairspj02,SF,6/6,230,December 24 1992,us,1,University of North Carolina
50,Tyler Hansbrough\hansbty01,PF,6/9,250,November 3 1985,us,6,University of North Carolina
9,Aaron Harrison\harriaa01,SG,6/6,210,October 28 1994,us,R,University of Kentucky
0,Spencer Hawes\hawessp01,PF,7/1,245,April 28 1988,us,8,University of Washington
25,Al Jefferson\jeffeal01,C,6/10,289,January 4 1985,us,11,
44,Frank Kaminsky\kaminfr01,C,7/1,242,April 4 1993,us,R,University of Wisconsin
14,Michael Kidd-Gilchrist\kiddgmi01,SF,6/7,232,September 26 1993,us,3,University of Kentucky
3,Jeremy Lamb\lambje01,SG,6/5,185,May 30 1992,us,3,University of Connecticut
1,Courtney Lee\leeco01,SG,6/5,200,October 3 1985,us,7,Western Kentucky University
7,Jeremy Lin\linje01,SG,6/3,200,August 23 1988,us,5,Harvard University
22,Brian Roberts\roberbr01,PG,6/1,173,December 3 1985,us,3,University of Dayton
15,Kemba Walker\walkeke02,PG,6/1,172,May 8 1990,us,4,University of Connecticut
2,Marvin Williams\willima02,PF,6/9,237,June 19 1986,us,10,University of North Carolina
40,Cody Zeller\zelleco01,C,7/1,240,October 5 1992,us,2,Indiana University
5,Lavoy Allen\allenla01,PF,6/9,260,February 4 1989,us,4,Temple University
10,Chase Budinger\budinch01,SF,6/7,209,May 22 1988,us,6,University of Arizona
25,Rakeem Christmas\chrisra01,PF,6/9,250,December 1 1991,us,R,Syracuse University
11,Monta Ellis\ellismo01,SG,6/3,185,October 26 1985,us,10,
13,Paul George\georgpa01,SF,6/9,220,May 2 1990,us,5,California State University Fresno
3,George Hill\hillge01,PG,6/3,188,May 4 1986,us,7,Indiana University-Purdue University Indianapolis
27,Jordan Hill\hilljo01,C,6/10,235,July 27 1987,us,6,University of Arizona
44,Solomon Hill\hillso01,SF,6/7,225,March 18 1991,us,2,University of Arizona
10,Ty Lawson\lawsoty01,PG,5/11,195,November 3 1987,us,6,University of North Carolina
28,Ian Mahinmi\mahinia01,C,6/11,250,November 5 1986,fr,7,
0,C.J. Miles\milescj01,SF,6/6,225,April 18 1987,us,10,
40,Glenn Robinson\robingl02,SF,6/6,222,January 8 1994,us,1,University of Michigan
2,Rodney Stuckey\stuckro01,PG,6/5,210,April 21 1986,us,8,Eastern Washington University
33,Myles Turner\turnemy01,C,6/11,243,March 24 1996,us,R,University of Texas at Austin
42,Shayne Whittington\whittsh01,PF,6/11,250,March 27 1991,us,1,Western Michigan University
1,Joe Young\youngjo01,PG,6/2,180,June 27 1992,us,R,University of Houston University of Oregon
50,Joel Anthony\anthojo01,C,6/9,245,August 9 1982,ca,8,University of Nevada Las Vegas
12,Aron Baynes\baynear01,C,6/10,260,December 9 1986,nz,3,Washington State University
22,Steve Blake\blakest01,PG,6/3,172,February 26 1980,us,12,University of Maryland
25,Reggie Bullock\bullore01,SF,6/7,205,March 16 1991,us,2,University of North Carolina
5,Kentavious Caldwell-Pope\caldwke01,SG,6/5,205,February 18 1993,us,2,University of Georgia
8,Spencer Dinwiddie\dinwisp01,PG,6/6,200,April 6 1993,us,1,University of Colorado
0,Andre Drummond\drumman01,C,6/11,279,August 10 1993,us,3,University of Connecticut
32,Justin Harper\harpeju01,PF,6/10,225,August 30 1989,us,1,University of Richmond
34,Tobias Harris\harrito02,PF,6/9,235,July 15 1992,us,4,University of Tennessee
6,Darrun Hilliard\hillida01,SG,6/6,205,April 13 1993,us,R,Villanova University
23,Ersan Ilyasova\ilyaser01,PF,6/10,235,May 15 1987,tr,7,
1,Reggie Jackson\jacksre01,PG,6/3,208,April 16 1990,it,4,Boston College
7,Brandon Jennings\jennibr01,PG,6/1,170,September 23 1989,us,6,
3,Stanley Johnson\johnsst04,SF,6/7,245,May 29 1996,us,R,University of Arizona
20,Jodie Meeks\meeksjo01,SG,6/4,210,August 21 1987,us,6,University of Kentucky
13,Marcus Morris\morrima03,SF,6/9,235,September 2 1989,us,4,University of Kansas
43,Anthony Tolliver\tollian01,PF,6/8,240,June 1 1985,us,7,Creighton University
41,Cameron Bairstow\bairsca01,C,6/9,250,December 7 1990,au,1,University of New Mexico
0,Aaron Brooks\brookaa01,PG,6/1,161,January 14 1985,us,7,University of Oregon
21,Jimmy Butler\butleji01,SG,6/8,236,September 14 1989,us,4,Marquette University
34,Mike Dunleavy\dunlemi02,SF,6/9,230,September 15 1980,us,13,Duke University
6,Cristiano Felicio\feliccr01,C,6/10,275,July 7 1992,br,R,
16,Pau Gasol\gasolpa01,C,7/1,250,July 6 1980,es,14,
22,Taj Gibson\gibsota01,PF,6/9,225,June 24 1985,us,6,University of Southern California
12,Kirk Hinrich\hinriki01,PG,6/4,190,January 2 1981,us,12,University of Kansas
7,Justin Holiday\holidju01,SG,6/6,185,April 5 1989,us,2,University of Washington
3,Doug McDermott\mcderdo01,SF,6/8,225,January 3 1992,us,1,Creighton University
44,Nikola Mirotic\mirotni01,PF,6/10,220,February 11 1991,me,1,
55,E'Twaun Moore\mooreet01,SG,6/4,191,February 28 1989,us,4,Purdue University
13,Joakim Noah\noahjo01,C,6/11,230,February 25 1985,us,8,University of Florida
5,Bobby Portis\portibo01,PF,6/11,230,February 10 1995,us,R,University of Arkansas
1,Derrick Rose\rosede01,PG,6/3,190,October 4 1988,us,6,University of Memphis
20,Tony Snell\snellto01,SF,6/7,200,November 10 1991,us,2,University of New Mexico
6,Alan Anderson\anderal01,SG,6/6,220,October 16 1982,us,6,Michigan State University
3,Bradley Beal\bealbr01,SG,6/5,207,June 28 1993,us,3,University of Florida
45,DeJuan Blair\blairde01,C,6/7,270,April 22 1989,us,6,University of Pittsburgh
1,Jared Dudley\dudleja01,PF,6/7,225,July 10 1985,us,8,Boston College
8,Jarell Eddie\eddieja01,SF,6/7,218,October 30 1991,us,R,Virginia Polytechnic Institute and State University
90,Drew Gooden\goodedr01,PF,6/10,250,September 24 1981,us,13,University of Kansas
13,Marcin Gortat\gortama01,C,6/11,240,February 17 1984,pl,8,
21,J.J. Hickson\hicksjj01,C,6/9,242,September 4 1988,us,7,North Carolina State University
42,Nene Hilario\hilarne01,PF,6/11,250,September 13 1982,br,13,
15,Ryan Hollins\holliry01,C,7/1,240,October 10 1984,us,9,University of California Los Angeles
43,Kris Humphries\humphkr01,PF,6/9,235,February 6 1985,us,11,University of Minnesota
5,Markieff Morris\morrima02,PF,6/10,245,September 2 1989,us,4,University of Kansas
14,Gary Neal\nealga01,SG,6/4,210,October 3 1984,us,5,La Salle University Towson University
