Player,FG36,FGA36,threesMade36,threesAttempted36,twosMade36,twosAttempted36,FT36,FTA36,ORB36,DRB36,TRB36,AST36,STL36,BLK36,TOV36,PF36,PTS36
Alex Abrines\abrinal01,4.6,11.6,3.2,8.4,1.4,3.2,1.5,1.7,0.6,2.3,2.9,1.4,1.3,0.3,1.1,3.9,13.9
Quincy Acy\acyqu01,4.5,11,2.4,5.8,2.1,5.2,2.9,3.9,1.3,6.1,7.4,1.2,0.9,1,1.4,4.3,14.3
Steven Adams\adamsst01,5.6,9.9,0,0,5.6,9.9,2.4,3.9,4.2,5,9.2,1.3,1.3,1.2,2.2,2.9,13.6
Arron Afflalo\afflaar01,4.2,9.6,1.4,3.4,2.8,6.1,1.9,2.1,0.2,2.6,2.8,1.8,0.5,0.1,1,2.4,11.7
Alexis Ajinca\ajincal01,5.5,11,0,0.2,5.5,10.7,1.8,2.5,2.8,8.1,10.9,0.7,1.2,1.4,1.9,4.7,12.8
Cole Aldrich\aldrico01,3.1,5.8,0,0,3.1,5.8,1,1.5,3.5,7.3,10.7,1.7,1.7,1.6,1.2,5.8,7.1
LaMarcus Aldridge\aldrila01,7.7,16.2,0.4,0.9,7.4,15.3,3.4,4.2,2.7,5.4,8.1,2.1,0.7,1.4,1.5,2.4,19.2
Lavoy Allen\allenla01,3.2,6.9,0,0,3.2,6.9,1,1.4,4.3,4.7,9.1,2.4,0.7,1,1.2,3.2,7.3
Tony Allen\allento01,5.2,11.2,0.3,1,4.9,10.2,1.5,2.4,3.1,4.2,7.4,1.8,2.2,0.5,1.9,3.3,12.1
Al-Farouq Aminu\aminual01,3.7,9.5,1.4,4.3,2.3,5.2,1.9,2.8,1.6,7.6,9.2,2,1.2,0.9,1.9,2.1,10.8
Chris Andersen\anderch01,2.8,6.9,0,0.9,2.8,6,3.2,4.4,2.8,6.9,9.8,1.6,1.6,2.2,1.6,6.3,8.8
Alan Anderson\anderal01,3.5,9.4,1.6,5.1,1.9,4.2,1.4,1.9,0.4,2.5,2.8,1.3,0.4,0,0.8,4.1,10.1
Justin Anderson\anderju01,5.5,12.9,1.7,5.7,3.8,7.2,3,3.8,2,5.2,7.2,1.9,1.2,0.7,1.9,3.2,15.6
Kyle Anderson\anderky01,3.3,7.4,0.5,1.4,2.8,6,1.6,2,1.2,6.2,7.3,3.2,1.8,0.9,1.4,2.2,8.7
Ryan Anderson\anderry01,5.5,13.2,3.5,8.6,2,4.5,2.2,2.6,1.9,3.7,5.6,1.2,0.5,0.2,0.9,2.4,16.7
Giannis Antetokounmpo\antetgi01,8.3,15.9,0.6,2.3,7.7,13.7,6,7.7,1.8,7.1,8.9,5.5,1.7,1.9,3,3.1,23.2
Carmelo Anthony\anthoca01,8.5,19.7,2.1,6,6.4,13.7,4.3,5.2,0.9,5.3,6.2,3,0.9,0.5,2.2,2.8,23.5
Joel Anthony\anthojo01,3,4.7,0,0,3,4.7,1.5,2.4,2.4,6.8,9.1,0.9,0.6,1.8,1.2,3.2,7.4
Trevor Ariza\arizatr01,4.2,10.4,2.5,7.2,1.8,3.2,1.2,1.6,0.7,5.2,5.9,2.3,1.9,0.3,0.9,1.7,12.2
Darrell Arthur\arthuda01,5.4,12.1,3,6.6,2.4,5.5,1.1,1.2,1.4,4.9,6.3,2.4,1.1,1.2,2,4.3,14.8
Omer Asik\asikom01,2.3,4.9,0,0,2.3,4.9,1.7,2.9,3.6,8.6,12.2,1.1,0.4,0.7,1,3.8,6.3
D.J. Augustin\augusdj01,4.6,12.1,2.2,6.4,2.3,5.7,3.1,3.8,0.4,2.4,2.7,4.9,0.7,0,2.1,2.4,14.4
Luke Babbitt\babbilu01,3.8,9.5,2.9,7.1,0.9,2.4,0.4,0.5,0.4,4.4,4.8,1.2,0.7,0.4,0.8,4,11
Ron Baker\bakerro01,3.4,9.1,1,3.6,2.5,5.5,1.2,1.8,0.5,3.6,4.1,4.5,1.4,0.3,2.4,3.1,9
